CityId,CityName,Coordinates,StateId,CreatedBy,CreatedAt,ModifiedBy,ModifiedAt,isActive
,Visakhapatnam,,1,,,,,
,Vijayawada,,1,,,,,
,Itanagar,,2,,,,,
,Guwahati,,3,,,,,
,Patna,,4,,,,,
,Raipur,,5,,,,,
,Panaji,,6,,,,,
,Ahmedabad,,7,,,,,
,Surat,,7,,,,,
,Vadodara,,7,,,,,
,Faridabad,,8,,,,,
,Gurgaon,,8,,,,,
,Chandigarh,,28,,,,,
,Shimla,,9,,,,,
,Ranchi,,10,,,,,
,Bengaluru,,11,,,,,
,Mysore,,11,,,,,
,Thiruvananthapuram,,12,,,,,
,Kochi,,12,,,,,
,Bhopal,,13,,,,,
,Indore,,13,,,,,
,Mumbai,,14,,,,,
,Pune,,14,,,,,
,Nagpur,,14,,,,,
,Imphal,,15,,,,,
,Shillong,,16,,,,,
,Aizawl,,17,,,,,
,Kohima,,18,,,,,
,Bhubaneswar,,19,,,,,
,Cuttack,,19,,,,,
,Ludhiana,,20,,,,,
,Amritsar,,20,,,,,
,Jaipur,,21,,,,,
,Jodhpur,,21,,,,,
,Gangtok,,22,,,,,
,Chennai,,23,,,,,
,Coimbatore,,23,,,,,
,Madurai,,23,,,,,
,Hyderabad,,24,,,,,
,Agartala,,25,,,,,
,Lucknow,,26,,,,,
